Municipio,Codigo_Postal,Tasa_paro,Densidad_población,N_empresas,Transacciones_inmobiliarias,Deuda_ayuntamientos,Saldo_migratorio,Renta_disponible_media
ARANDILLA,9019,-0.8297058676600813,-0.11255332662219099,-0.07185847858354036,-0.10874653576734898,-0.05720342591558636,-0.215780216559391,-0.0048269764506630826
ARAUZO DE MIEL,9020,-0.7347190865156028,-0.12254028389710589,-0.06020330042173057,-0.07106209267965378,-0.05720342591558636,-0.27329060473721717,-0.0048269764506630826
ARAUZO DE SALCE,9021,2.7549960697482123,-0.15091232160993234,-0.11553566409297547,-0.10874653576734898,-0.05720342591558636,0.01426133615191378,-0.004839775892193959
ARAUZO DE TORRE,9022,-0.10605155508547952,-0.12049749718178239,-0.0927604945216839,-0.10874653576734898,-0.05720342591558636,0.1292821125075662,-0.0048269764506630826
ARCOS,9023,0.07400370877072078,0.47576924739097814,-0.00849831362737544,0.08721256828866601,-0.05720342591558636,0.24430288886321858,4.191751517832452
ARENILLAS DE RIOPISUERGA,9024,1.2199486507707755,-0.10846775319154399,-0.11553566409297547,-0.10120964714980994,-0.05720342591558636,0.24430288886321858,-0.004839775892193959
ARIJA,9025,-0.850305410558884,0.010921781504029707,-0.029786853331089224,-0.025840760974419563,-0.05567147149244351,-0.503332157448522,-0.004686182593800165
ARLANZON,9026,-0.16746871076524275,-0.11868168676816149,-0.08452456505530302,-0.08613586991473186,-0.05720342591558636,-0.043249052025912414,-0.0048269764506630826
ARRAYA DE OCA,9027,1.903166823581061,-0.13718025535692435,-0.11553566409297547,-0.10120964714980994,-0.05720342591558636,-0.1582698283815648,-0.004839775892193959
ATAPUERCA,9029,-0.5325383876940218,-0.09632452105045426,-0.07046104650801724,-0.10120964714980994,-0.05720342591558636,0.07177172432973998,-0.0048269764506630826
"AUSINES, LOS",9030,-0.5523749845595354,-0.14410303255885398,-0.05833014678858257,-0.07859898129719282,-0.05720342591558636,0.18679250068539238,-0.0048269764506630826
AVELLANOSA DE MUÑO,9032,-0.5691597972918931,-0.14807511783864968,-0.0635928165198079,-0.07859898129719282,-0.05720342591558636,0.01426133615191378,-0.0048269764506630826
BAHABON DE ESGUEVA,9033,-0.022127491423691244,-0.13729374350777565,-0.10150187814304125,-0.10874653576734898,-0.05720342591558636,0.01426133615191378,-0.0048269764506630826
"BALBASES, LOS",9034,-0.5180424130615312,-0.12322121280221372,-0.0657335635291199,-0.08613586991473186,-0.05720342591558636,0.07177172432973998,-0.0048269764506630826
BAÑOS DE VALDEARADOS,9035,0.05225974682198472,-0.07975525102616361,-0.0643955966482999,-0.10120964714980994,-0.05720342591558636,0.9919379351749591,-0.0048269764506630826
BAÑUELOS DE BUREBA,9036,-1.0597340966967101,-0.15704068175590286,-0.05755709925744212,-0.10874653576734898,-0.05720342591558636,0.01426133615191378,-0.0048269764506630826
BARBADILLO DE HERREROS,9037,-0.7129751245668667,-0.1599913736780368,-0.07498040130545368,-0.10120964714980994,-0.05720342591558636,-0.1582698283815648,-0.0048269764506630826
BARBADILLO DEL MERCADO,9038,-0.6687242546361056,-0.07226503306997743,-0.06846896248546301,-0.0936727585322709,-0.05720342591558636,-0.215780216559391,-0.0048269764506630826
BARBADILLO DEL PEZ,9039,-0.28419945385845746,-0.14421652070970528,-0.0849408214182248,-0.10120964714980994,-0.05720342591558636,0.07177172432973998,-0.0048269764506630826
BARRIO DE MUÑO,9041,-1.0597340966967101,-0.08622407562468805,-0.05969784626675412,-0.11628342438488802,-0.05720342591558636,-0.10075944020373861,-0.0048269764506630826
"BARRIOS DE BUREBA, LOS",9043,-0.19264592986377924,-0.13457002788734432,-0.0788456389611559,-0.0936727585322709,-0.05720342591558636,0.24430288886321858,-0.0048269764506630826
BARRIOS DE COLINA,9044,0.12016194378470438,-0.15511138319143067,-0.10706187384778212,-0.11628342438488802,-0.05720342591558636,0.18679250068539238,-0.0048269764506630826
BASCONCILLOS DEL TOZO,9045,-0.671394565752617,-0.1523876675709993,-0.050034752127498555,-0.07106209267965378,-0.05720342591558636,0.18679250068539238,-0.0048269764506630826
BASCUÑANA,9046,-1.0597340966967101,-0.14909651119631143,-0.0496779609592799,-0.08613586991473186,-0.05720342591558636,-0.10075944020373861,-0.0048269764506630826
BELBIMBRE,9047,-0.9021857408225349,-0.11652541190198669,-0.07078810507888435,-0.11628342438488802,-0.05720342591558636,-0.1582698283815648,-0.0048269764506630826
BELORADO,9048,-0.3688864635535347,-0.03061488170754821,0.07475295895698013,0.08721256828866601,-0.05720342591558636,2.8897807450432236,-3.1628075869861267
BERBERANA,9050,-0.5065982225621963,-0.16158020778995508,-0.06924201001660346,-0.07859898129719282,-0.05720342591558636,-0.043249052025912414,-0.0048269764506630826
BERLANGAS DE ROA,9051,1.023490047198862,-0.0497943792014189,-0.11553566409297547,-0.0936727585322709,-0.05720342591558636,-0.10075944020373861,-0.004839775892193959
