Municipio,Codigo_Postal,Tasa_paro,Densidad_población,N_empresas,Transacciones_inmobiliarias,Deuda_ayuntamientos,Saldo_migratorio,Renta_disponible_media
REDECILLA DEL CAMINO,9307,97.38,8.59,,2,0,1,
REDECILLA DEL CAMPO,9308,79,3.66,,2,0,1,
REGUMIEL DE LA SIERRA,9309,14.79,16.25,,3,0,-7,
REINOSO,9310,9.67,1.76,,0,0,0,
RETUERTA,9311,29.17,7.72,,1,0,1,
"REVILLA Y AHEDO, LA",9312,37.86,6.67,,4,109,-8,
REVILLA DEL CAMPO,9314,14.58,2.71,,0,32,-2,
REVILLARRUZ,9315,39.42,33.21,,17,0,30,
REVILLA VALLEJERA,9316,3.59,3.67,,3,0,6,
REZMONDO,9317,91,3.13,,0,0,0,
RIOCAVADO DE LA SIERRA,9318,0,1.31,,1,0,1,
ROA,9321,28.07,44.88,33,22,211,23,18274
ROJAS,9323,18.91,2.56,,2,0,3,
ROYUELA DE RIO FRANCO,9325,10.33,3.49,,3,0,2,
RUBENA,9326,8.78,19.75,,4,0,-1,
RUBLACEDO DE ABAJO,9327,43.2,0.73,,0,0,0,
RUCANDIO,9328,66.5,1.96,,1,0,4,
SALAS DE BUREBA,9329,37.3,10.15,,1,0,0,
SALAS DE LOS INFANTES,9330,13.95,6.32,89,34,0,2,20173
SALDAÑA DE BURGOS,9332,18.66,23.19,,5,0,-1,
SALINILLAS DE BUREBA,9334,58,2.23,,2,0,-1,
SAN ADRIAN DE JUARROS,9335,79.17,4.72,,2,0,0,
SAN JUAN DEL MONTE,9337,45.33,5.88,,10,0,-5,
SAN MAMES DE BURGOS,9338,49.73,62.35,,3,0,2,
SAN MARTIN DE RUBIALES,9339,70.08,7.78,,4,0,0,
SAN MILLAN DE LARA,9340,11.6,2.05,,0,0,-3,
SANTA CECILIA,9343,14.23,8.02,,2,0,4,
SANTA CRUZ DE LA SALCEDA,9345,12.62,5.1,,1,140,7,
SANTA CRUZ DEL VALLE URBION,9346,69.33,2.97,,2,0,2,
SANTA GADEA DEL CID,9347,21.75,5.24,,1,31,5,
SANTA INES,9348,99.18,9.88,,2,0,1,
SANTA MARIA DEL CAMPO,9350,7.21,8.58,,8,0,0,
SANTA MARIA DEL INVIERNO,9351,19,4.07,,2,0,-2,
SANTA MARIA DEL MERCADILLO,9352,21.18,3.44,,1,0,-4,
SANTA OLALLA DE BUREBA,9354,18.75,3.25,,1,0,5,
SANTIBAÑEZ DE ESGUEVA,9355,12.89,3.82,,1,0,0,
SANTIBAÑEZ DEL VAL,9356,0,3.6,,1,0,3,
SANTO DOMINGO DE SILOS,9358,11.9,3.32,,2,0,11,
SAN VICENTE DEL VALLE,9360,12.5,2.01,,1,0,2,
SARGENTES DE LA LORA,9361,25,1.33,,5,0,10,
SARRACIN,9362,13.64,26.74,,5,0,8,
SASAMON,9363,10.57,8.51,,14,0,13,
"SEQUERA DE HAZA, LA",9365,100,3.65,,0,0,2,
SOLARANA,9366,23.5,4.42,,0,0,8,
SORDILLOS,9368,100,2.88,,1,0,-1,
SOTILLO DE LA RIBERA,9369,15.24,11.04,,7,83,25,
SOTRAGERO,9372,53.52,52.64,,4,0,6,
SOTRESGUDO,9373,8.24,2.58,,10,0,-3,
SUSINOS DEL PARAMO,9374,50,9.86,,0,0,3,
TAMARON,9375,40.17,2.61,,0,2,6,
TARDAJOS,9377,16.23,62.89,,6,0,15,
TEJADA,9378,41,1.49,,1,0,0,
TERRADILLOS DE ESGUEVA,9380,2.93,5.07,,0,0,1,
TINIEBLAS DE LA SIERRA,9381,0,0.95,,10,0,1,
TOBAR,9382,0,1.83,,0,0,2,
TORDOMAR,9384,16.56,10.94,,1,0,-3,
TORRECILLA DEL MONTE,9386,27.63,4.88,,1,0,5,
TORREGALINDO,9387,20.8,7.81,,5,0,2,
TORRELARA,9388,0,2.63,,0,0,1,
TORREPADRE,9389,21.77,2.66,,3,0,0,
TORRESANDINO,9390,19.83,6.34,,3,0,0,
TORTOLES DE ESGUEVA,9391,8.8,5.01,,8,0,3,
TOSANTOS,9392,75,9.75,,0,0,-3,
TRESPADERNE,9394,23.38,20.56,,20,87,-2,
TUBILLA DEL AGUA,9395,27.5,1.8,,8,0,-5,
TUBILLA DEL LAGO,9396,14.41,7.19,,4,0,2,
URBEL DEL CASTILLO,9398,5.04,2.2,,2,0,1,
VADOCONDES,9400,15.72,13.81,,1,10,9,
VALDEANDE,9403,22.88,3.19,,1,0,1,
VALDEZATE,9405,13.33,6.05,,1,0,-2,
VALDORROS,9406,6.54,20.55,,7,0,-15,
VALMALA,9407,95.5,1.41,,0,0,3,
VALLARTA DE BUREBA,9408,16.67,2.35,,0,0,-3,
VALLE DE MANZANEDO,9409,47.73,1.87,,5,0,0,
VALLE DE MENA,9410,27.03,15.14,120,97,200,80,21751
VALLE DE OCA,9411,11.42,4.39,,4,0,4,
VALLE DE TOBALINA,9412,21.11,5.72,,36,0,8,
VALLE DE VALDEBEZANA,9413,18.47,2.91,,21,0,14,
VALLE DE VALDELAGUNA,9414,25,2.09,,3,0,4,
VALLE DE VALDELUCIO,9415,18.68,3.54,,1,0,-10,
VALLE DE ZAMANZAS,9416,95.75,2.59,,0,14,-2,
VALLEJERA,9417,13,2.18,,0,0,0,
VALLES DE PALENZUELA,9418,22.22,3.88,,1,0,0,
VALLUERCANES,9419,6.58,2.39,,0,0,1,
"VID Y BARRIOS, LA",9421,14.37,7.34,,3,0,-17,
"VID DE BUREBA, LA",9422,0,1.95,,0,0,5,
VILEÑA,9423,75,4.09,,1,0,-1,
VILORIA DE RIOJA,9424,0,5.46,,1,0,-1,
VILVIESTRE DEL PINAR,9425,13.09,15.69,,12,0,8,
VILLADIEGO,9427,13.45,4.52,52,19,1,21,16756
VILLAESCUSA DE ROA,9428,9.62,5.54,,2,0,4,
VILLAESCUSA LA SOMBRIA,9429,8,3.5,,2,0,1,
VILLAESPASA,9430,75,1.38,,0,0,2,
VILLAFRANCA MONTES DE OCA,9431,35.94,2.19,,4,0,3,
VILLAFRUELA,9432,5.2,3.23,,2,0,-8,
VILLAGALIJO,9433,61.38,2.62,,0,0,-3,
VILLAGONZALO PEDERNALES,9434,6.01,134.08,67,22,0,1,22068
VILLAHOZ,9437,36.09,5.75,,1,332,20,
VILLALBA DE DUERO,9438,28.6,51.41,,8,0,7,
VILLALBILLA DE BURGOS,9439,11.75,100.62,54,8,206,-10,21621
VILLALBILLA DE GUMIEL,9440,62.5,3.25,,0,0,2,
VILLALDEMIRO,9441,0,7.37,,0,0,-1,
VILLALMANZO,9442,14.35,17.35,,2,0,15,
VILLAMAYOR DE LOS MONTES,9443,5.47,3.8,,5,0,3,
VILLAMAYOR DE TREVIÑO,9444,2.5,3.41,,0,0,-4,
VILLAMBISTIA,9445,50,3.36,,3,0,3,
VILLAMEDIANILLA,9446,79,1.47,,0,0,0,
VILLAMIEL DE LA SIERRA,9447,30.5,2.45,,3,0,0,
VILLANGOMEZ,9448,10,5.86,,3,0,7,
VILLANUEVA DE ARGAÑO,9449,3.96,14.39,,1,0,5,
VILLANUEVA DE CARAZO,9450,25,3.25,,1,0,1,
VILLANUEVA DE GUMIEL,9451,52.06,12.27,,1,0,9,
VILLANUEVA DE TEBA,9454,93,6.37,,2,0,1,
VILLAQUIRAN DE LA PUEBLA,9455,24.1,4.18,,1,0,1,
VILLAQUIRAN DE LOS INFANTES,9456,9.05,11.63,,4,0,0,
VILLARIEZO,9458,5.21,67.38,,22,0,30,
VILLASANDINO,9460,44,4.02,,3,0,1,
VILLASUR DE HERREROS,9463,50.29,2.93,,1,0,3,
VILLATUELDA,9464,7.14,2.74,,0,0,4,
VILLAVERDE DEL MONTE,9466,34.67,3.26,,2,0,-4,
VILLAVERDE-MOGINA,9467,30.56,5.46,,1,0,3,
VILLAYERNO MORQUILLAS,9471,64.36,19.92,,0,0,6,
VILLAZOPEQUE,9472,17.56,4.43,,0,0,1,
VILLEGAS,9473,7.25,3.66,,2,0,7,
VILLORUEBO,9476,58,2.64,,1,0,1,
VIZCAINOS,9478,100,4,,2,0,2,
ZAEL,9480,20.45,6.23,,1,0,7,
ZARZOSA DE RIO PISUERGA,9482,83,3.14,,2,14,-1,
ZAZUAR,9483,16.49,9.16,,1,0,-4,
ZUÑEDA,9485,1.33,4.61,,1,0,3,
QUINTANILLA DEL AGUA Y TORDUELES,9901,21.06,9.97,,2,0,-7,
VALLE DE SANTIBAÑEZ,9902,19.52,4.55,,6,0,6,
VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA,9903,22.03,26.63,186,128,633,-65,19182
VALLE DE LAS NAVAS,9904,24.08,4.73,,8,0,7,
VALLE DE SEDANO,9905,27.11,1.54,,16,0,12,
MERINDAD DE RIO UBIERNA,9906,5.46,5.21,50,17,0,-23,21657
ALFOZ DE QUINTANADUEÑAS,9907,41.64,52.1,50,22,117,21,23197
VALLE DE LOSA,9908,28.32,2.14,,39,0,20,
SANTA MARIA RIBARREDONDA,9353,33.67,8.07,,5,0,-2,
