Municipio,Codigo_Postal,Poblacion,Superficie,Densidad_población,Media_paro,Afiliados_SS,Tasa_paro,N_empresas,Transacciones_inmobiliarias,Deuda_ayuntamientos,Saldo_migratorio,Renta_disponible_media
COVARRUBIAS,9113,539,41.07,13.12,20.33,157,12.95,33.01,13,7,6,20323.33
CUBILLO DEL CAMPO,9114,102,14.06,7.25,4.16,18,23.11,4.84,1,0,-3,20323.28
CUBO DE BUREBA,9115,105,9.8,10.71,3.08,11,28,8.2,1,0,5,20323.28
"CUEVA DE ROA, LA",9117,106,11.91,8.9,11.75,26,45.19,0,2,0,-2,20323.27
CUEVAS DE SAN CLEMENTE,9119,42,13.26,3.16,2.25,9,25,6.4,2,0,1,20323.28
ENCIO,9120,43,18.76,2.29,0,7,0,18.34,0,0,2,20323.28
ESPINOSA DE CERVERA,9122,90,29.62,3.03,0,13,0,14.81,1,8,-6,20323.33
ESPINOSA DEL CAMINO,9123,46,6.93,6.63,0.83,1,83,0,0,0,-2,20323.27
ESPINOSA DE LOS MONTEROS,9124,1674,137.46,12.17,103.08,440,23.43,52,24,139,-3,17048
ESTEPAR,9125,604,102.7,5.88,20.83,139,14.99,37.55,7,0,30,20323.29
FONTIOSO,9127,50,24.84,2.01,2.5,6,41.67,0,0,0,-2,20323.27
FRANDOVINEZ,9128,97,8.58,11.3,3.91,51,7.67,19.15,1,0,4,20323.28
FRESNEDA DE LA SIERRA TIRON,9129,94,61.17,1.53,2.41,1,80.33,0,0,0,1,20323.27
FRESNEÑA,9130,69,14.01,4.92,1.08,33,3.27,20.35,3,0,1,20323.28
FRESNILLO DE LAS DUEÑAS,9131,695,13.69,50.76,32.25,221,14.59,18.35,1,0,-9,20323.28
FRESNO DE RIO TIRON,9132,178,9.68,18.38,9.33,54,17.28,10.69,1,0,-4,20323.28
FRESNO DE RODILLA,9133,46,12.15,3.78,3,7,42.86,0,2,0,2,20323.27
FRIAS,9134,270,29.5,9.15,14,85,16.47,21.58,10,0,-1,20323.28
FUENTEBUREBA,9135,40,9.09,4.4,1.16,12,9.67,14.72,2,0,0,20323.28
FUENTECEN,9136,223,17.05,13.07,8.75,72,12.15,21.41,7,0,-1,20323.28
FUENTELCESPED,9137,257,22.42,11.46,12.5,35,35.71,7.07,7,0,-2,20323.28
FUENTELISENDO,9138,106,6.97,15.2,4.25,14,30.36,10.76,0,0,11,20323.28
FUENTEMOLINOS,9139,99,12.81,7.72,3.66,11,33.27,1.11,3,0,-4,20323.28
FUENTENEBRO,9140,150,38.99,3.84,4.25,11,38.64,0,1,0,1,20323.27
FUENTESPINA,9141,770,12.03,64,33.25,264,12.59,44.2,6,0,14,20323.29
GALBARROS,9143,30,31.99,0.93,0.41,5,8.2,12.06,0,0,0,20323.28
"GALLEGA, LA",9144,44,17.35,2.53,1.33,1,66.5,0,0,0,1,20323.27
GRIJALBA,9148,111,19.75,5.62,1.83,13,14.08,10.08,1,0,-2,20323.28
GRISALEÑA,9149,65,16.35,3.97,2.25,20,11.25,8.03,0,0,-5,20323.28
GUMIEL DE IZAN,9151,556,75.5,7.36,20.83,172,12.11,30.75,4,0,22,20323.28
GUMIEL DE MERCADO,9152,374,57.71,6.48,30.08,182,16.53,22.87,5,0,12,20323.28
HACINAS,9154,151,7.9,19.11,6.91,32,21.59,14.83,2,0,4,20323.28
HAZA,9155,28,82.3,0.34,0,15,0,17.74,1,0,0,20323.28
HONTANAS,9159,72,10.22,7.04,2.25,10,22.5,3.88,0,0,-3,20323.28
HONTANGAS,9160,91,12.22,7.44,0,15,0,24.87,2,0,6,20323.28
HONTORIA DE LA CANTERA,9162,153,19.39,7.89,7,22,31.82,20.22,11,0,9,20323.28
HONTORIA DEL PINAR,9163,644,80.84,7.96,28.41,152,18.69,9.41,2,0,-2,20323.28
HONTORIA DE VALDEARADOS,9164,169,33.58,5.03,4.75,38,12.5,13.96,2,0,1,20323.28
"HORMAZAS, LAS",9166,98,36.58,2.67,0.25,17,1.47,19.51,1,0,3,20323.28
HORNILLOS DEL CAMINO,9167,56,14.08,3.97,0.83,7,11.86,11.53,0,0,1,20323.28
"HORRA, LA",9168,312,29.99,10.4,9.58,126,7.6,27.66,7,0,6,20323.28
HORTIGÜELA,9169,100,20.66,4.84,4.83,16,30.19,10.92,4,0,8,20323.28
HOYALES DE ROA,9170,226,12.78,17.68,12.25,14,87.5,0,3,0,-10,20323.27
HUERMECES,9172,164,48.7,3.36,2.58,27,9.56,25.24,5,0,11,20323.28
HUERTA DE ARRIBA,9173,128,33.18,3.85,5.41,10,54.1,0,1,0,4,20323.27
HUERTA DE REY,9174,908,97.81,9.28,37.83,238,15.89,16.33,6,0,-2,20323.28
HUMADA,9175,123,85.19,1.44,4.16,21,19.81,8.14,3,0,-2,20323.28
HURONES,9176,57,8.29,6.87,1.58,1,79,0,0,0,-2,20323.27
IBEAS DE JUARROS,9177,1438,130.27,11.03,55.33,259,21.36,49,11,186,-12,21572
IBRILLOS,9178,37,5.64,6.56,1.08,1,54,0,1,0,-1,20323.27
IGLESIARRUBIA,9179,43,15.02,2.86,2,5,40,0,1,0,1,20323.27
IGLESIAS,9180,146,34.54,4.22,2,27,7.41,17.22,2,0,2,20323.28
ISAR,9181,291,66.42,4.38,6.75,41,16.46,7.78,0,0,-1,20323.28
ITERO DEL CASTILLO,9182,82,16.91,4.84,1.25,8,15.63,17.79,5,0,4,20323.28
JARAMILLO DE LA FUENTE,9183,42,21.56,1.94,0,1,0,16.32,0,0,-1,20323.28
JARAMILLO QUEMADO,9184,10,17.45,0.57,2.41,1,80.33,0,0,0,0,20323.27
JUNTA DE TRASLALOMA,9189,123,75.81,1.62,3.91,21,18.62,11.98,5,0,-1,20323.28
JUNTA DE VILLALBA DE LOSA,9190,87,45.89,1.89,3.91,27,14.48,12.06,3,10,-1,20323.35
JURISDICCION DE LARA,9191,31,25.04,1.23,0.25,6,4.17,21.41,1,0,9,20323.28
JURISDICCION DE SAN ZADORNIL,9192,62,30.99,2,1,6,16.67,11.41,1,0,4,20323.28
LERMA,9194,2609,164.69,15.84,143.66,1001,14.35,97,20,0,-19,18892
LLANO DE BUREBA,9195,53,15.19,3.48,0.83,6,13.83,8.36,0,0,-2,20323.28
MADRIGAL DEL MONTE,9196,155,26.88,5.76,3.83,24,15.96,5.87,1,0,-7,20323.28
MADRIGALEJO DEL MONTE,9197,179,25.17,7.11,8.16,353,2.31,23.47,2,0,6,20323.28
MAHAMUD,9198,111,33.61,3.3,2,22,9.09,14.73,2,0,0,20323.28
MAMBRILLA DE CASTREJON,9199,104,16.04,6.48,6.91,23,30.04,7.11,1,0,7,20323.28
MAMBRILLAS DE LARA,9200,46,34.03,1.35,0.5,1,50,0,2,0,1,20323.27
MAMOLAR,9201,27,18.32,1.47,1.08,1,54,0,2,0,-1,20323.27
MANCILES,9202,22,6.58,3.34,1.41,1,70.5,0,0,0,1,20323.27
MAZUELA,9206,59,13.41,4.39,0.75,13,5.77,15.71,0,0,2,20323.28
MECERREYES,9208,196,59.63,3.28,3.58,11,32.55,12.16,9,0,3,20323.28
MEDINA DE POMAR,9209,5834,214.2,27.23,415.41,1680,24.73,268,190,0,56,20371
MELGAR DE FERNAMENTAL,9211,1553,108.62,14.29,82.08,468,17.54,33,19,54,5,16194
MERINDAD DE CUESTA-URRIA,9213,284,121.97,2.32,9.58,52,18.42,13.97,12,0,-12,20323.28
MERINDAD DE MONTIJA,9214,730,100.07,7.29,31.08,254,12.24,55.43,26,0,18,20323.29
MERINDAD DE SOTOSCUEVA,9215,409,153.35,2.66,18.91,85,22.25,23.95,15,0,1,20323.28
MERINDAD DE VALDEPORRES,9216,431,120.17,3.58,25.75,142,18.13,13.36,8,0,-6,20323.28
MERINDAD DE VALDIVIELSO,9217,386,129.09,2.99,14.83,67,22.13,17.29,9,0,2,20323.28
MILAGROS,9218,438,22.03,19.88,22.5,239,9.41,23.6,8,0,-5,20323.28
MIRANDA DE EBRO,9219,35528,101.33,350.61,2347.75,10006,23.46,794,527,14387,-147,22756
MIRAVECHE,9220,85,22.7,3.74,0.58,9,6.44,28.28,4,111,12,20324.03
MODUBAR DE LA EMPAREDADA,9221,768,11.75,65.36,27.66,238,11.62,72.64,23,0,24,20323.3
MONASTERIO DE LA SIERRA,9223,40,5.89,6.79,0.5,8,6.25,20.43,1,191,2,20324.56
MONASTERIO DE RODILLA,9224,164,37.14,4.41,6.33,52,12.17,12.08,1,0,0,20323.28
MONCALVILLO,9225,83,26.76,3.1,2.91,1,97,0,0,0,0,20323.27
MONTERRUBIO DE LA DEMANDA,9226,58,15.11,3.83,0.25,1,25,4.71,1,0,0,20323.28
MONTORIO,9227,152,23.53,6.45,4.41,81,5.44,26.49,7,2,4,20323.3
MORADILLO DE ROA,9228,163,13.81,11.8,4.75,42,11.31,14.09,0,0,1,20323.28
NAVA DE ROA,9229,206,22.35,9.21,6.66,83,8.02,20.16,4,0,1,20323.28
NAVAS DE BUREBA,9230,31,8.79,3.52,0,6,0,16.14,0,0,-2,20323.28
NEBREDA,9231,51,28.43,1.79,0.83,6,13.83,14.19,2,0,4,20323.28
NEILA,9232,144,68.59,2.09,5.16,18,28.67,2.71,3,0,-3,20323.28
OLMEDILLO DE ROA,9235,190,26.03,7.29,12.25,56,21.88,17.38,5,30,7,20323.48
OLMILLOS DE MUÑO,9236,36,7.04,5.11,0,1,0,17.88,0,0,0,20323.28
OÑA,9238,1008,161.64,6.23,43.33,165,26.26,20,7,110,19,17564
OQUILLAS,9239,48,14.98,3.2,2.83,6,47.17,0,0,0,3,20323.27
ORBANEJA RIOPICO,9241,355,9.34,38,16.58,37,44.81,4.58,5,0,-6,20323.28
PADILLA DE ABAJO,9242,75,27.76,2.7,0,6,0,15.87,1,0,-4,20323.28
PADILLA DE ARRIBA,9243,86,23.12,3.71,3.08,16,19.25,7.9,1,0,0,20323.28
PADRONES DE BUREBA,9244,45,20.33,2.21,4.33,1,86.6,0,1,0,4,20323.27
PALACIOS DE LA SIERRA,9246,702,70.4,9.97,25.33,193,13.12,27.1,4,0,16,20323.28
PALACIOS DE RIOPISUERGA,9247,22,10.34,2.12,5.41,1,90.17,0,0,0,0,20323.27
PALAZUELOS DE LA SIERRA,9248,87,15.74,5.52,0.83,6,13.83,14.03,1,0,4,20323.28
PALAZUELOS DE MUÑO,9249,53,8.69,6.09,0.33,6,5.5,16.95,1,0,1,20323.28
PAMPLIEGA,9250,287,24.4,11.76,11.83,34,34.79,7.71,6,0,0,20323.28
PANCORBO,9251,423,58.45,7.23,17.41,338,5.15,24.29,7,0,0,20323.28
PARDILLA,9253,115,15.2,7.56,5.5,21,26.19,6.43,0,0,4,20323.28
PARTIDO DE LA SIERRA EN TOBALINA,9255,84,29.79,2.81,1.08,15,7.2,13.77,1,0,-1,20323.28
PEDROSA DE DUERO,9256,485,69.86,6.94,27.75,223,12.44,33.39,11,0,13,20323.28
PEDROSA DEL PARAMO,9257,84,11.33,7.41,2.5,22,11.36,16.6,1,0,5,20323.28
PEDROSA DEL PRINCIPE,9258,165,28.41,5.8,4.58,54,8.48,20.91,2,0,8,20323.28
PEDROSA DE RIO URBEL,9259,252,49.06,5.13,4.08,35,11.66,16.41,1,0,6,20323.28
PEÑARANDA DE DUERO,9261,511,64.53,7.91,22.91,87,26.33,10.25,1,0,8,20323.28
PERAL DE ARLANZA,9262,175,29.03,6.02,2.08,32,6.5,13.21,0,0,-2,20323.28
PIERNIGAS,9265,37,13.4,2.76,2.08,1,69.33,0,0,0,7,20323.27
PINEDA DE LA SIERRA,9266,99,68.77,1.43,1.41,15,9.4,15.94,2,0,3,20323.28
PINEDA TRASMONTE,9267,117,28.17,4.15,0,11,0,17.56,1,0,-2,20323.28
PINILLA DE LOS BARRUECOS,9268,99,32.52,3.04,3.75,7,53.57,0,1,43,-1,20323.56
PINILLA DE LOS MOROS,9269,40,11.01,3.63,1.83,1,91.5,0,3,0,-1,20323.27
PINILLA TRASMONTE,9270,165,68.31,2.41,5.25,16,32.81,7.51,3,0,8,20323.28
POZA DE LA SAL,9272,294,81.9,3.58,16.33,49,33.33,9.22,10,0,-3,20323.28
PRADANOS DE BUREBA,9273,56,10.79,5.18,2.75,16,17.19,9.48,1,0,0,20323.28
PRADOLUENGO,9274,112,30.54,3.66,63.08,329,19.17,35,19,40,-1,15578
PRESENCIO,9275,190,35.35,5.37,9,31,29.03,13.64,4,0,11,20323.28
"PUEBLA DE ARGANZON, LA",9276,513,18.87,27.18,23.25,69,33.7,25.37,11,0,10,20323.28
PUENTEDURA,9277,120,16.39,7.32,5.5,7,78.57,0,2,0,1,20323.27
QUEMADA,9279,255,20.84,12.23,8.41,61,13.79,29.86,6,0,16,20323.28
QUINTANABUREBA,9280,30,12.36,2.42,1.41,1,70.5,0,0,0,3,20323.27
QUINTANA DEL PIDIO,9281,157,10.74,14.61,4.08,72,5.67,23.01,5,0,-1,20323.28
QUINTANAELEZ,9283,43,17.47,2.46,2.58,1,86,0,2,0,4,20323.27
QUINTANAORTUÑO,9287,274,5.57,49.19,9.25,119,7.77,33.72,5,0,2,20323.29
QUINTANAPALLA,9288,117,15.87,7.37,3.5,68,5.15,12.44,0,0,-5,20323.28
QUINTANAR DE LA SIERRA,9289,1596,59.9,26.64,99.91,317,31.52,38,12,0,-9,15892
QUINTANAVIDES,9292,74,11.67,6.34,5.41,1,90.17,0,1,0,-1,20323.27
QUINTANILLA DE LA MATA,9294,117,13.64,8.57,6.5,11,59.09,0,0,0,0,20323.27
QUINTANILLA DEL COCO,9295,50,20.15,2.48,0,12,0,20.28,1,0,3,20323.28
"QUINTANILLAS, LAS",9297,379,24.78,15.29,20.33,45,45.18,12.33,10,0,7,20323.28
QUINTANILLA SAN GARCIA,9298,79,45.75,1.72,0.91,9,10.11,9.27,1,0,-5,20323.28
QUINTANILLA VIVAR,9301,872,13.38,65.17,38.75,111,34.91,40.52,18,0,4,20323.29
RABANERA DEL PINAR,9302,98,33.24,2.94,3.08,10,30.8,2.4,3,0,-2,20323.28
RABANOS,9303,82,40.64,2.01,0.83,6,13.83,9.85,0,0,1,20323.28
RABE DE LAS CALZADAS,9304,232,10.11,22.94,6.58,62,10.61,26.54,3,0,9,20323.28
REBOLLEDO DE LA TORRE,9306,95,50.51,1.88,1,25,4,15.3,1,0,-1,20323.28
REDECILLA DEL CAMINO,9307,104,12.1,8.59,12.66,13,97.38,0,2,0,1,20323.27
REDECILLA DEL CAMPO,9308,63,17.2,3.66,3.16,1,79,0,2,0,1,20323.27
REGUMIEL DE LA SIERRA,9309,336,20.67,16.25,20.41,138,14.79,12.04,3,0,-7,20323.28
REINOSO,9310,15,8.51,1.76,0.58,6,9.67,11.48,0,0,0,20323.28
RETUERTA,9311,66,8.54,7.72,1.75,6,29.17,4.13,1,0,1,20323.28
"REVILLA Y AHEDO, LA",9312,102,15.29,6.67,8.33,22,37.86,0,4,109,-8,20324.01
REVILLA DEL CAMPO,9314,106,39.04,2.71,1.75,12,14.58,8.23,0,32,-2,20323.49
REVILLARRUZ,9315,564,16.98,33.21,26.41,67,39.42,44.13,17,0,30,20323.29
REVILLA VALLEJERA,9316,101,27.46,3.67,4.16,116,3.59,23.01,3,0,6,20323.28
REZMONDO,9317,21,6.7,3.13,0.91,1,91,0,0,0,0,20323.27
RIOCAVADO DE LA SIERRA,9318,57,43.32,1.31,0,1,0,18.66,1,0,1,20323.28
ROA,9321,2196,48.92,44.88,209.66,747,28.07,33,22,211,23,18274
ROJAS,9323,64,24.93,2.56,2.08,11,18.91,10.92,2,0,3,20323.28
ROYUELA DE RIO FRANCO,9325,177,50.61,3.49,3.41,33,10.33,16.61,3,0,2,20323.28
RUBENA,9326,193,9.77,19.75,13,148,8.78,21.5,4,0,-1,20323.28
RUBLACEDO DE ABAJO,9327,29,39.3,0.73,2.16,5,43.2,0,0,0,0,20323.27
RUCANDIO,9328,64,32.63,1.96,1.33,1,66.5,0,1,0,4,20323.27
SALAS DE BUREBA,9329,135,13.3,10.15,8.58,23,37.3,0,1,0,0,20323.28
SALAS DE LOS INFANTES,9330,198,31.32,6.32,91.91,659,13.95,89,34,0,2,20173
SALDAÑA DE BURGOS,9332,189,8.15,23.19,9.33,50,18.66,18.19,5,0,-1,20323.28
SALINILLAS DE BUREBA,9334,51,22.83,2.23,0.58,1,58,0,2,0,-1,20323.27
SAN ADRIAN DE JUARROS,9335,94,19.89,4.72,4.75,6,79.17,0,2,0,0,20323.27
